460	1976	02	13
4331819	1972	03	03
4543573	1974	02	22
4543940	1974	03	18
5071933	1972	11	16
5824649	1969	12	01
5919558	1966	12	30
494	1976	03	01
1151780	1975	11	05
4127828	1974	01	19
4127829	1974	01	19
4152807	1974	10	24
4333829	1972	04	21
4350769	1973	08	06
4354768	1973	11	30
4365809	1974	08	28
4443927	1975	04	16
4443928	1975	04	16
4545184	1974	06	26
5503879	1971	04	26
16992438	2010	06	29
3645	1976	05	25
943522	1976	06	02
4307710	1969	09	05
4326997	1971	09	23
4383089	1967	12	14
4724831	1973	10	14
4783096	1974	05	07
4857991	1974	08	28
4577	1976	07	06
1083424	1976	07	06
1262852	1976	07	06
4854666	1974	10	31
8636	1976	10	20
164536	1975	06	29
182964	1976	10	20
4348351	1973	05	18
8781	1976	10	20
54420	1976	03	24
240928	1975	12	30
1142178	1975	09	22
1214221	1976	04	10
4153766	1975	01	15
4404686	1973	02	02
4404687	1973	02	02
10432	1977	01	03
806678	1975	09	18
806679	1975	09	18
1081139	1976	01	29
4316945	1970	08	30
4316946	1970	08	30
4353318	1973	10	12
4537943	1972	09	21
4541779	1973	10	05
10435	1977	01	03
50439	1975	11	08
165285	1975	07	24
165286	1975	07	24
235124	1975	06	11
238033	1975	10	07
820854	1976	10	02
820855	1976	10	02
4152979	1974	10	24
4318717	1970	11	03
4323307	1971	04	29
4358351	1974	02	26
4358352	1974	02	26
4545024	1974	06	12
5499746	1971	03	31
5653884	1968	07	30
5821861	1969	11	05
5921835	1967	01	09
16992305	2010	06	29
11339	1977	01	29
186587	1977	01	29
240932	1975	12	29
4153582	1975	01	15
4326307	1971	08	18
4345927	1973	03	13
4346703	1973	04	02
5076386	1972	12	01
5796469	1969	09	05
11340	1977	01	29
241848	1976	02	02
4295698	1968	04	28
4300871	1968	12	08
5316661	1972	04	24
6040154	1967	11	05
11863	1977	02	24
167156	1975	10	10
1177094	1975	12	20
1202198	1976	03	01
4346988	1973	04	06
6051794	1967	12	16
14035890	1963	12	01
15046	1977	05	20
4539587	1973	03	08
4539588	1973	03	08
5316641	1972	04	21
15047	1977	05	20
5039275	1972	08	28
5792364	1969	08	22
16128	1977	06	22
165284	1975	07	24
4838796	1974	08	28
5921841	1967	01	09
16129	1977	06	22
175150	1976	04	15
4198587	1973	10	05
4395959	1971	04	13
4405553	1973	04	02
5499744	1971	03	31
17734	1977	08	12
17743	1977	08	12
4327694	1971	10	26
4346994	1973	04	06
4363380	1974	06	26
4370832	1975	01	16
18219	1977	09	17
5475996	1970	12	21
5475999	1970	12	21
20501	1977	11	25
4455827	1975	06	26
5579636	1971	07	22
16992510	2013	01	11
21223	1977	12	29
4644325	1973	03	01
5549097	1971	05	05
23408	1978	03	29
1086900	1977	01	25
1176946	1975	12	20
1177091	1975	12	20
1271045	1976	08	02
4405213	1973	03	08
5579645	1971	07	22
23431	1978	03	29
240926	1975	12	20
5499803	1971	03	31
24218	1978	04	17
25959	1978	07	15
167152	1975	09	18
171379	1976	01	29
301569	1977	08	12
302330	1977	10	14
4361216	1974	05	07
25960	1978	07	15
192885	1977	06	22
4767050	1974	02	26
27280	1978	09	29
839451	1977	04	25
839456	1977	04	25
1185607	1976	01	14
4413132	1974	12	06
27281	1978	09	29
195042	1977	08	12
202363	1978	03	10
304889	1978	04	17
837001	1977	04	25
5545181	1971	04	06
28527	1978	10	25
5500995	1971	04	06
31463	1979	02	26
31464	1979	02	26
966178	1976	12	01
4449076	1975	05	05
5639799	1968	04	30
5824109	1969	11	30
966179	1976	12	01
994035	1977	01	29
1086357	1976	12	30
35608	1979	07	16
200739	1978	01	27
650437	1978	07	15
894249	1977	10	14
1079601	1975	09	09
1142225	1975	10	10
5548011	1971	04	29
14060445	1964	02	01
301570	1977	08	12
306437	1978	07	24
671288	1978	09	15
38256	1979	10	26
1084923	1976	09	25
4348791	1973	06	07
38332	1979	10	17
1079536	1975	09	05
1082506	1976	04	10
1082507	1976	04	10
1082924	1976	05	25
4197835	1973	09	12
5499044	1971	03	25
39080	1979	11	21
202700	1978	03	29
4346993	1973	04	06
